Input Size  Execution Time
       100        0.014000
       100        0.013000
       100        0.015000
       100        0.015000
       100        0.016000
       100        0.015000
       100        0.019000
       100        0.014000
      1000        0.194000
      1000        0.184000
      1000        0.194000
      1000        0.190000
      1000        0.187000
      1000        0.191000
      1000        0.422000
      1000        0.252000
      1000        0.210000
      1000        0.194000
      1000        0.186000
      1000        0.203000
      1000        0.186000
      1000        0.396000
      1000        0.191000
      1000        0.193000
      1000        0.191000
      1000        0.191000
      1000        0.194000
      1000        0.197000
      1000        0.192000
      1000        0.195000
      1000        0.194000
      1000        0.190000
      1000        0.241000
      1000        0.207000
      1000        0.199000
      1000        0.214000
      1000        0.195000
      1000        0.197000
      1000        0.201000
      1000        0.232000
      1000        0.199000
      1000        0.204000
      1000        0.202000
      1000        0.202000
      1000        0.212000
      1000        0.205000
      1000        0.216000
      1000        0.188000
      1000        0.188000
      1000        0.186000
      1000        0.185000
      1000        0.191000
      1000        0.189000
      1000        0.189000
      1000        0.197000
      1000        0.197000
      1000        0.192000
      1000        0.197000
      1000        0.336000
      1000        0.242000
      1000        0.352000
      1000        0.186000
      1000        0.315000
      1000        0.233000
      1000        0.280000
      1000        0.186000
      1000        0.191000
      1000        0.194000
      1000        0.187000
      1000        0.191000
      1000        0.266000
      1000        0.186000
      1000        0.183000
      1000        0.234000
      1000        0.332000
      1000        0.256000
      1000        0.296000
      1000        0.186000
      1000        0.186000
      1000        0.192000
      1000        0.217000
      1000        0.183000
      1000        0.184000
      1000        0.184000
      1000        0.187000
      1000        0.221000
      1000        0.191000
      1000        0.311000
      1000        0.192000
      1000        0.199000
      1000        0.197000
      1000        0.203000
      1000        0.223000
      1000        0.251000
      1000        0.187000
      1000        0.188000
      1000        0.269000
      1000        0.399000
      1000        0.195000
      1000        0.329000
      1000        0.200000
      1000        0.199000
      1000        0.200000
      1000        0.195000
      1000        0.234000
      1000        0.220000
      1000        0.188000
      1000        0.195000
     10000        3.546000
     10000        2.750000
     10000        2.631000
     10000        2.589000
     10000        2.798000
     10000        2.735000
     10000        3.310000
     10000        2.484000
     10000        2.397000
     10000        2.899000
     10000        2.918000
     10000        3.456000
     10000        2.829000
     10000        2.538000
     10000        2.669000
     10000        2.605000
     10000        2.705000
     10000        2.597000
     10000        2.828000
     10000        2.644000
     10000        2.634000
     10000        2.598000
     10000        2.719000
     10000        2.716000
     10000        3.019000
     10000        3.058000
     10000        2.921000
     10000        2.987000
     10000        2.494000
     10000        2.637000
     10000        2.656000
     10000        2.606000
     10000        2.667000
     10000        2.652000
     10000        2.627000
     10000        2.776000
     10000        2.619000
     10000        2.402000
     10000        2.887000
     10000        3.464000
     10000        3.189000
     10000        3.597000
     10000        2.700000
     10000        2.506000
     10000        2.406000
     10000        2.491000
     10000        2.427000
     10000        2.693000
     10000        2.421000
     10000        2.481000
     10000        2.306000
     10000        2.451000
     10000        2.559000
     10000        2.531000
     10000        2.484000
     10000        2.529000
     10000        2.490000
     10000        3.051000
     10000        3.150000
     10000        2.838000
     10000        3.228000
     10000        3.105000
     10000        3.020000
     10000        2.739000
     10000        2.616000
     10000        2.594000
     10000        2.636000
     10000        3.160000
     10000        2.921000
     10000        3.029000
     10000        3.000000
     10000        2.769000
     10000        2.682000
     10000        2.685000
     10000        2.640000
     10000        2.441000
     10000        2.375000
     10000        2.639000
     10000        2.586000
     10000        2.514000
     10000        2.418000
     10000        2.664000
     10000        2.453000
     10000        2.585000
     10000        2.690000
     10000        2.489000
     10000        2.718000
     10000        2.896000
     10000        2.597000
     10000        2.831000
     10000        2.836000
     10000        4.151000
     10000        2.547000
     10000        2.643000
     10000        2.514000
     10000        2.361000
     10000        2.623000
     10000        2.374000
     10000        2.527000
     10000        2.593000
    100000       32.900000
    100000       29.638000
    100000       30.328000
    100000       31.784000
    100000       33.428000
    100000       32.787000
    100000       29.930000
    100000       31.965000
    100000       35.531000
    100000       30.981000
    100000       30.112000
    100000       29.627000
    100000       29.787000
    100000       29.655000
    100000       30.055000
    100000       31.755000
    100000       30.142000
    100000       30.946000
    100000       29.623000
    100000       31.853000
    100000       29.895000
    100000       31.834000
    100000       29.745000
    100000       30.020000
    100000       30.013000
    100000       29.880000
    100000       30.084000
    100000       29.646000
    100000       29.924000
    100000       30.348000
    100000       30.157000
    100000       29.825000
    100000       29.919000
    100000       29.784000
    100000       29.890000
    100000       30.079000
    100000       29.988000
    100000       29.978000
    100000       30.648000
    100000       29.914000
    100000       34.031000
    100000       29.906000
    100000       32.158000
    100000       29.638000
    100000       32.023000
    100000       30.163000
    100000       30.258000
    100000       29.703000
    100000       30.038000
    100000       29.570000
    100000       29.519000
    100000       29.895000
    100000       30.394000
    100000       29.786000
    100000       29.724000
    100000       30.272000
    100000       29.583000
    100000       29.640000
    100000       29.554000
    100000       30.326000
    100000       30.165000
    100000       30.534000
    100000       30.285000
    100000       31.131000
    100000       29.791000
    100000       34.544000
    100000       30.000000
    100000       31.711000
    100000       30.167000
    100000       29.921000
    100000       30.333000
    100000       30.131000
    100000       30.461000
    100000       30.038000
    100000       29.953000
    100000       30.293000
    100000       30.208000
    100000       29.800000
    100000       30.051000
    100000       29.987000
    100000       29.857000
    100000       29.822000
    100000       29.908000
    100000       30.080000
    100000       30.545000
    100000       30.040000
    100000       33.630000
    100000       29.989000
    100000       33.387000
    100000       30.216000
    100000       32.378000
    100000       30.215000
    100000       29.787000
    100000       30.360000
    100000       30.003000
    100000       29.708000
    100000       29.502000
    100000       29.763000
    100000       30.284000
    100000       29.822000
